,Timestamp,Age,Gender,City,Position,YOE,Level,Salary,SOYA,Language
184,14/12/2018 17:47:16,35.0,Male,Berlin,PHP Developer,12.0,Senior,63000.0,63000.0,English
185,14/12/2018 17:47:38,29.0,Male,Berlin,Data scientist,8.0,Senior,115000.0,85000.0,English
186,14/12/2018 17:52:18,28.0,Male,München,Software Engineer (Android),2.0,Middle,52000.0,23000.0,Deutsch
187,14/12/2018 17:54:53,39.0,Male,Frankfurt,SAP Consultant,13.0,Senior,176000.0,110000.0,English
188,14/12/2018 17:55:01,35.0,Male,München,C++ developer,14.0,Senior,70000.0,58000.0,English
189,14/12/2018 18:09:11,31.0,Female,Frankonia,QA Engineer,7.0,Senior,44000.0,44000.0,English
190,14/12/2018 18:09:27,26.0,Male,Berlin,Computer Vision Engineer,2.5,Middle,50000.0,40000.0,English
191,14/12/2018 18:12:52,26.0,Male,München,Java Developer,4.0,Middle,58000.0,48000.0,English
193,14/12/2018 18:19:11,42.0,Male,Stuttgart ,Digital Project Manager,3.0,Senior,60000.0,50000.0,Deutsch
194,14/12/2018 18:19:43,27.0,Male,Berlin,Backend developer,3.0,Senior,64000.0,58000.0,English
195,14/12/2018 18:19:59,38.0,Male,Berlin,PM,5.0,Senior,80000.0,80000.0,English
196,14/12/2018 18:21:16,24.0,Male,München,Machine Learning Engineet,2.0,Middle,58000.0,24480.0,English
197,14/12/2018 18:22:41,32.0,Male,Berlin,Machine Learning Engineer,8.0,Senior,95000.0,88000.0,English
199,14/12/2018 18:23:11,31.0,Male,München,Lead Software Engineer,13.0,Senior,90000.0,75000.0,English
200,14/12/2018 18:30:31,31.0,Male,Stuttgart,Head of Development,12.0,Senior,75000.0,69000.0,English
202,14/12/2018 18:47:44,30.0,Male,Köln,Data scientist,5.0,Middle,80000.0,78000.0,English
203,14/12/2018 18:48:00,36.0,Male,München,Data Scientist,5.0,Senior,92000.0,77000.0,English
204,14/12/2018 18:51:51,24.0,Male,München,IT Consultant,4.0,Middle,60000.0,55000.0,English
205,14/12/2018 18:59:10,33.0,Male,Karlsruhe,Embedded SW Developer,13.0,Senior,90000.0,90000.0,Deutsch
206,14/12/2018 19:01:15,34.0,Female,München,C++ Developer ,6.0,Middle,63000.0,63000.0,Deutsch
207,14/12/2018 19:02:11,29.0,Male,München,System Engineer,8.0,Senior,75000.0,65000.0,English
211,14/12/2018 19:07:54,29.0,Male,Berlin,backend developer,5.0,Middle,65000.0,57600.0,English
212,14/12/2018 19:08:18,29.0,Male,Stuttgart,Computer Vision Engineer,6.0,Senior,125000.0,115000.0,English
213,14/12/2018 19:12:42,35.0,Male,Berlin,Senior Software Engineer,10.0,Senior,68000.0,65000.0,English
214,14/12/2018 19:13:13,36.0,Male,Berlin,Engineer,13.0,Senior,80000.0,70000.0,English
216,14/12/2018 19:38:07,28.0,Male,Stuttgart ,C++ Developer ,5.0,Middle,60000.0,60000.0,English
217,14/12/2018 19:38:08,32.0,Male,Berlin,Senior Ruby Developer,13.0,Senior,65000.0,58000.0,English
218,14/12/2018 19:43:14,38.0,Male,Berlin,Senior Backend Engineer,15.0,Senior,92000.0,70000.0,English
219,14/12/2018 19:52:50,31.0,Male,Berlin,Senior software engineer,8.0,Senior,75000.0,55000.0,English
221,14/12/2018 19:54:47,38.0,Female,München,Java Developer,16.0,Middle,58000.0,56000.0,Deutsch
225,14/12/2018 20:41:56,27.0,Male,München,Senior Software Engineer,6.0,Senior,75000.0,71000.0,English
226,14/12/2018 20:53:08,36.0,Male,Berlin,Java developer,12.0,Senior,80000.0,80000.0,English
227,14/12/2018 21:02:32,32.0,Male,München,DevOps Engineer,9.0,Senior,80000.0,70000.0,English
233,14/12/2018 21:51:41,39.0,Male,München,Software Engineer,15.0,Senior,68000.0,68000.0,English
234,14/12/2018 22:07:16,25.0,Male,Berlin,C++ Developer,3.0,Middle,48500.0,46000.0,English
239,14/12/2018 22:24:18,28.0,Male,Berlin,Full-stack Developer,7.0,Senior,75000.0,60000.0,English
240,14/12/2018 22:26:29,31.0,Male,Berlin,Lead Software Engineer,10.0,Senior,95000.0,82000.0,English
242,14/12/2018 22:33:44,32.0,Male,Berlin,Site Reliability engineer ,12.0,Senior,65000.0,65000.0,English
243,14/12/2018 22:33:46,50.0,Female,Bayern,Project manager,20.0,Senior,96000.0,94000.0,Deutsch
245,14/12/2018 22:46:56,34.0,Male,München,Architect,11.0,Senior,83000.0,75000.0,Russian
250,14/12/2018 23:53:16,38.0,Male,Berlin,Head of BI,5.0,Senior,85000.0,72000.0,English
252,15/12/2018 00:16:42,37.0,Male,Tübingen,Software Engineer,15.0,Senior,65000.0,65000.0,English
253,15/12/2018 00:27:54,34.0,Male,Berlin,Java Developer,10.0,Senior,86000.0,72000.0,English
254,15/12/2018 00:29:01,28.0,Male,Berlin,DevOps,3.0,Middle,68000.0,55000.0,English
255,15/12/2018 00:31:39,31.0,Male,Berlin,Senior PHP Developer,11.0,Senior,61000.0,55000.0,English
256,15/12/2018 00:51:51,25.0,Male,Berlin,Fullstack,5.0,Senior,60000.0,53000.0,English
257,15/12/2018 01:05:26,25.0,Male,Berlin,Java developer,4.0,Middle,48000.0,42000.0,English
258,15/12/2018 01:09:43,29.0,Male,Berlin,Team Lead,10.0,Senior,75000.0,75000.0,English
259,15/12/2018 01:19:44,28.0,Male,München,Product Manager,5.0,Middle,65000.0,62000.0,Russian
261,15/12/2018 01:59:53,38.0,Male,Stuttgart,IT Berater,18.0,Senior,84000.0,84000.0,Russian
262,15/12/2018 03:11:43,26.0,Male,München,Java & JS Developer,4.0,Middle,54000.0,50000.0,English
263,15/12/2018 03:41:51,25.0,Female,Berlin,Java developer ,1.0,Junior,40000.0,40000.0,Deutsch
264,15/12/2018 05:40:22,43.0,Male,München,Frontend developer ,10.0,Senior,61000.0,55000.0,English
265,15/12/2018 06:04:26,35.0,Male,München,DevOps engineer ,15.0,Senior,85000.0,65000.0,Deutsch
267,15/12/2018 07:21:46,27.0,Male,München,iOS Developer,6.0,Senior,68000.0,55700.0,English
268,15/12/2018 07:45:54,33.0,Male,München,Senior Java Developer,12.0,Senior,75000.0,68000.0,English
274,15/12/2018 09:16:51,32.0,Male,Berlin,Senior PHP developer,8.0,Senior,60000.0,55000.0,English
275,15/12/2018 09:25:30,31.0,Female,Berlin,QA,10.0,Senior,44000.0,40000.0,English
276,15/12/2018 09:26:39,36.0,Male,München,Product Manager,10.0,Senior,95000.0,80000.0,Deutsch
279,15/12/2018 10:11:07,31.0,Female,Berlin,TA Engineer,8.0,Middle,46000.0,43000.0,English
280,15/12/2018 10:12:07,30.0,Male,Berlin,CTO,9.0,Senior,90000.0,67000.0,English
281,15/12/2018 10:26:31,33.0,Male,München,Senior software engineer ,11.0,Senior,92000.0,76000.0,English
282,15/12/2018 10:27:44,33.0,Male,Berlin,Java script,16.0,Senior,95000.0,80000.0,English
283,15/12/2018 10:29:47,38.0,Male,München,Frontend,5.0,Senior,70000.0,50000.0,English
285,15/12/2018 10:43:27,28.0,Male,Berlin,Lead DevOps,7.0,Senior,70000.0,65000.0,English
286,15/12/2018 10:45:12,37.0,Male,Brno,DevOps,17.0,Middle,35000.0,25000.0,English
288,15/12/2018 10:50:57,31.0,Male,München,Hardware Engineer ,9.0,Senior,90000.0,87000.0,English
289,15/12/2018 10:51:04,31.0,Male,München,Hardware Engineer ,9.0,Senior,90000.0,87000.0,English
290,15/12/2018 10:52:39,37.0,Male,Berlin,Senior Backend Developer,17.0,Senior,80000.0,65000.0,English
292,15/12/2018 10:55:32,33.0,Male,München,System Administrator,13.0,Senior,72000.0,70000.0,Russian
294,15/12/2018 11:02:41,30.0,Male,Berlin,Python Developer,2.5,Middle,52000.0,48000.0,English
295,15/12/2018 11:04:08,37.0,Male,Dresden,Developer,10.0,Senior,53000.0,51000.0,Deutsch
296,15/12/2018 11:12:37,30.0,Male,Berlin,Javascript Developer in Test,8.0,Senior,72000.0,55000.0,English
299,15/12/2018 11:14:22,27.0,Male,Berlin,Scala developer,5.0,Middle,63000.0,56000.0,English
302,15/12/2018 11:27:53,34.0,Male,Berlin,QA Engineer,12.0,Senior,73500.0,70000.0,English
303,15/12/2018 11:33:00,31.0,Male,Berlin,Software Developer,10.0,Senior,83000.0,65000.0,English
304,15/12/2018 11:38:11,33.0,Male,Krakow,DevOps Engineer,7.0,Senior,42000.0,35000.0,English
305,15/12/2018 11:44:15,39.0,Female,München,BI Developer,5.0,Middle,56000.0,51000.0,English
306,15/12/2018 11:45:48,30.0,Male,Berlin,Senior Software Engineer,9.0,Senior,130000.0,120000.0,English
310,15/12/2018 12:16:26,29.0,Female,Amsterdam,Backend developer,4.0,Middle,58000.0,49500.0,English
311,15/12/2018 12:18:59,30.0,Male,Amsterdam,Lead developer,8.0,Senior,65000.0,58000.0,English
313,15/12/2018 12:22:50,33.0,Male,München,iOS Developer,12.0,Middle,70000.0,66000.0,English
314,15/12/2018 12:24:14,21.0,Male,Amsterdam,Software Engineer 2(Frontend),4.0,Middle,90000.0,62000.0,English
316,15/12/2018 12:37:08,33.0,Male,Berlin,Senior Software Engineer,12.0,Senior,85000.0,65000.0,English
318,15/12/2018 12:39:49,34.0,Male,Berlin,Oracle Developer,5.0,Middle,62000.0,60000.0,Deutsch
319,15/12/2018 12:40:24,40.0,Male,München,Oracle Pl/SQL Developer,20.0,Senior,60000.0,55000.0,Deutsch
325,15/12/2018 13:09:24,28.0,Male,Amsterdam,Python Developer,6.0,Senior,70000.0,30000.0,English
328,15/12/2018 13:17:44,30.0,Male,Berlin,iOS Developer,5.0,Senior,60000.0,50000.0,English
329,15/12/2018 13:22:45,25.0,Male,München,QA Engineer,5.0,Middle,56000.0,55000.0,English
330,15/12/2018 14:03:17,33.0,Male,Konstanz,Data Scientist,10.0,Middle,65000.0,60000.0,English
331,15/12/2018 14:24:35,25.0,Male,Amsterdam,Software Developer,6.0,Middle,78000.0,72500.0,English
335,15/12/2018 15:14:45,31.0,Male,Amsterdam,C++ Engineer,10.0,Senior,68000.0,65000.0,English
336,15/12/2018 15:22:44,28.0,Male,Berlin,Senior Software Engineer ,8.0,Senior,60000.0,55000.0,English
337,15/12/2018 15:25:05,26.0,Male,Hamburg,Scala Developer,5.0,Senior,81000.0,78000.0,English
339,15/12/2018 16:05:51,42.0,Male,Berlin,Head of Engineering,25.0,Senior,140000.0,130000.0,English
340,15/12/2018 16:14:24,39.0,Male,Berlin,IT Administration,6.0,Senior,52000.0,46000.0,English
343,15/12/2018 16:32:01,33.0,Male,Stuttgart,Java Developer,8.0,Middle,68000.0,68000.0,Deutsch
344,15/12/2018 16:57:43,36.0,Male,Dublin ,iOS developer ,7.0,Senior,90000.0,77000.0,English
