,Timestamp,Age,Gender,City,Position,YOE,Level,Salary,SOYA,Language
783,02/12/2019 11:25:36,31.0,Male,Berlin,Data Scientist,6,Senior,78000.0,76000.0,English
784,02/12/2019 11:25:49,24.0,Male,Berlin,Machine Learning Engineer,2,Middle,70000.0,70000.0,English
788,02/12/2019 11:30:24,32.0,Male,Berlin,DevOps,13,Senior,60000.0,60000.0,English
789,02/12/2019 11:30:34,32.0,Male,Berlin,DevOps,7,Senior,72000.0,72000.0,English
790,02/12/2019 11:31:32,38.0,Male,Berlin,Backend Developer,16,Senior,80000.0,75000.0,English
793,02/12/2019 11:32:52,31.0,Male,Berlin,Backend Developer,8,Senior,60000.0,60000.0,English
794,02/12/2019 11:32:59,32.0,Male,Berlin,Software Architect,13,Senior,78600.0,78600.0,English
795,02/12/2019 11:36:20,44.0,Male,Berlin,Backend Developer,20,Senior,60000.0,60000.0,Deutsch
797,02/12/2019 11:37:53,31.0,Male,Berlin,Backend Developer,7,Senior,60000.0,50000.0,English
798,02/12/2019 11:39:53,36.0,Male,Berlin,Backend Developer,11,Senior,65000.0,60000.0,English
799,02/12/2019 11:41:59,33.0,Male,Berlin,Backend Developer,4,Middle,58000.0,48000.0,Deutsch
801,02/12/2019 11:45:24,29.0,Male,Berlin,Backend Developer,11,Senior,190000.0,97000.0,English
802,02/12/2019 11:45:54,33.0,Male,Berlin,Backend Developer,9,Senior,69000.0,69000.0,English
803,02/12/2019 11:46:17,35.0,Male,Frankfurt,Business Analyst,15,Middle,72000.0,70000.0,English
805,02/12/2019 11:48:35,31.0,Male,Berlin,Backend Developer,10,Senior,75000.0,70000.0,English
806,02/12/2019 11:49:02,35.0,Male,Berlin,Data Engineer,10,Middle,70000.0,65000.0,English
807,02/12/2019 11:49:03,27.0,Male,Berlin,Backend Developer,10,Senior,60000.0,45000.0,English
808,02/12/2019 11:50:47,38.0,Female,Berlin,Manager,10,Senior,85000.0,85000.0,English
812,02/12/2019 11:53:51,30.0,Male,Berlin,Backend Developer,3,Middle,61000.0,48000.0,English
813,02/12/2019 11:54:30,31.0,Male,Berlin,Fullstack Developer,12,Senior,80000.0,75000.0,English
815,02/12/2019 12:01:48,31.0,Male,Munich,Frontend Developer,7,Senior,56600.0,56000.0,Deutsch
816,02/12/2019 12:02:15,30.0,Male,Munich,Data Scientist,8,Lead,81000.0,78000.0,English
817,02/12/2019 12:02:42,28.0,Male,Berlin,Data Scientist,4,Senior,75000.0,66000.0,English
819,02/12/2019 12:05:28,27.0,Male,Munich,Mobile Developer,5,Senior,72000.0,66000.0,English
820,02/12/2019 12:07:58,31.0,Female,MA,"Designer (UI, UX)",10,Senior,61000.0,56000.0,Deutsch
821,02/12/2019 12:08:04,28.0,Male,Berlin,Machine Learning Engineer,6,Middle,61000.0,55000.0,English
822,02/12/2019 12:08:31,36.0,Female,Munich,Backend Developer,13,Senior,76000.0,76000.0,English
824,02/12/2019 12:11:37,37.0,Male,Berlin,Localization,15,Senior,60000.0,55000.0,English
825,02/12/2019 12:13:02,40.0,Male,Berlin,Manager,15,Senior,70000.0,65000.0,English
826,02/12/2019 12:14:19,34.0,Male,Berlin,Support,9,Senior,60000.0,53500.0,English
828,02/12/2019 12:18:34,27.0,Female,Berlin,Data Scientist,3,Middle,66000.0,52000.0,English
830,02/12/2019 12:24:08,32.0,Male,Berlin,Backend Developer,11,Senior,65000.0,60000.0,English
832,02/12/2019 12:27:11,35.0,Male,Munich,Embedded Developer,12,Senior,78000.0,60000.0,English
833,02/12/2019 12:28:29,30.0,Male,Munich,DevOps,10,Middle,80000.0,75000.0,English
835,02/12/2019 12:31:11,27.0,Male,Munich,Backend Developer,5,Senior,70000.0,57000.0,English
836,02/12/2019 12:39:00,36.0,Male,Berlin,Backend Developer,14,Senior,73000.0,68000.0,English
841,02/12/2019 12:45:44,32.0,Female,Berlin,Backend Developer,12,Senior,96000.0,85000.0,English
842,02/12/2019 12:53:59,38.0,Male,Berlin,Backend Developer,18,Senior,75000.0,80000.0,English
843,02/12/2019 12:54:44,29.0,Male,Munich,Backend Developer,10,Senior,55000.0,52000.0,English
844,02/12/2019 12:56:07,30.0,Male,Berlin,Data Scientist,6,Lead,115000.0,107500.0,English
845,02/12/2019 12:59:36,26.0,Male,Munich,QA,6,Middle,65000.0,55000.0,English
846,02/12/2019 13:02:11,30.0,Male,Munich,DevOps,10,Middle,80000.0,72000.0,English
848,02/12/2019 13:03:53,35.0,Male,Munich,DevOps,16,Senior,72000.0,70000.0,Deutsch
850,02/12/2019 13:12:06,38.0,Male,Berlin,DevOps,7,Middle,67000.0,66000.0,English
851,02/12/2019 13:13:53,36.0,Male,Munich,Backend Developer,14,Senior,70000.0,65000.0,Deutsch
853,02/12/2019 13:16:12,30.0,Male,Berlin,QA,9,Senior,67500.0,67500.0,English
854,02/12/2019 13:21:36,33.0,Male,Berlin,QA,8,Senior,75000.0,65000.0,English
855,02/12/2019 13:23:36,31.0,Male,Frankfurt,System Administrator,10,Middle,56300.0,55000.0,English+Deutsch
856,02/12/2019 13:27:02,37.0,Male,Berlin,Backend Developer,12,Lead,89570.0,82160.0,English
858,02/12/2019 13:33:23,27.0,Male,Berlin,Manager,2,Middle,52000.0,36000.0,English
860,02/12/2019 13:34:49,39.0,Female,Hamburg,Backend Developer,2,Middle,55000.0,43000.0,Deutsch
861,02/12/2019 13:37:05,36.0,Male,Berlin,Manager,14,Senior,95000.0,92000.0,English
862,02/12/2019 13:37:07,33.0,Male,Berlin,Backend Developer,10,Senior,60000.0,55000.0,English
863,02/12/2019 13:41:41,30.0,Male,Berlin,Frontend Developer,7,Middle,56500.0,55000.0,English
864,02/12/2019 13:46:31,32.0,Male,Berlin,Backend Developer,12,Senior,68000.0,60000.0,English
867,02/12/2019 13:51:12,29.0,Male,Berlin,Backend Developer,7,Senior,69000.0,63000.0,English
872,02/12/2019 13:59:02,33.0,Male,Leipzig,Mobile Developer,13,Senior,56000.0,52000.0,English
874,02/12/2019 14:11:51,37.0,Male,Berlin,Manager,14,Senior,80000.0,78000.0,Russian
875,02/12/2019 14:16:47,36.0,Male,Berlin,Software Engineer,11,Senior,67000.0,64000.0,Deutsch
876,02/12/2019 14:21:39,39.0,Male,Berlin,Backend Developer,16,Senior,82000.0,63600.0,English
877,02/12/2019 14:23:35,27.0,Female,Berlin,Data Scientist,2,Middle,58500.0,55000.0,English
881,02/12/2019 14:34:27,47.0,Male,Berlin,Embedded Developer,20,Senior,65000.0,65000.0,English
882,02/12/2019 14:35:46,40.0,Male,Berlin,Software Architect,18,Senior,94000.0,86900.0,English
883,02/12/2019 14:35:55,37.0,Male,Berlin,Frontend Developer,10,Senior,66000.0,65000.0,English
885,02/12/2019 14:41:29,44.0,Male,Berlin,Data Engineer,25,Senior,70000.0,70000.0,English
887,02/12/2019 14:43:33,30.0,Female,Berlin,Backend Developer,4,Middle,54000.0,47250.0,English
888,02/12/2019 14:44:36,33.0,Male,Berlin,QA,8,Senior,63000.0,57000.0,English
889,02/12/2019 14:46:50,35.0,Male,Munich,Software Architect,15,Principal,120000.0,90000.0,Deutsch
891,02/12/2019 14:55:58,25.0,Male,Munich,Frontend Developer,4,Senior,74000.0,57000.0,English
892,02/12/2019 15:08:55,32.0,Male,Berlin,Backend Developer,11,Senior,70000.0,60000.0,English
893,02/12/2019 15:10:43,32.0,Male,Munich,DevOps,14,Senior,92000.0,78000.0,English
894,02/12/2019 15:11:20,42.0,Male,Munich,Software Architect,20,Senior,106000.0,102000.0,Deutsch
895,02/12/2019 15:12:44,42.0,Female,Munich,Business Analyst,15,Senior,71000.0,69000.0,Deutsch
897,02/12/2019 15:14:20,30.0,Male,Berlin,Backend Developer,10,Middle,70000.0,59000.0,English
898,02/12/2019 15:15:03,45.0,Female,Munich,Frontend Developer,2,Junior,36000.0,32000.0,Deutsch
901,02/12/2019 15:18:41,40.0,Male,Berlin,Backend Developer,18,Senior,88000.0,85000.0,English
902,02/12/2019 15:19:47,34.0,Male,Munich,QA,12,Senior,64000.0,62000.0,Deutsch
903,02/12/2019 15:20:58,30.0,Female,Munich,QA,6,Senior,56000.0,53000.0,Deutsch
905,02/12/2019 15:24:45,32.0,Female,Berlin,Frontend Developer,12,Middle,59500.0,56000.0,English
906,02/12/2019 15:24:46,31.0,Male,Berlin,Fullstack Developer,10,Senior,65000.0,60000.0,English
907,02/12/2019 15:25:09,30.0,Male,Berlin,Data Engineer,8,Senior,81000.0,72000.0,English
908,02/12/2019 15:26:28,45.0,Male,Munich,QA,12,Senior,70000.0,66000.0,Deutsch
909,02/12/2019 15:28:04,33.0,Male,Munich,Backend Developer,7,Senior,65000.0,57200.0,English
912,02/12/2019 15:33:43,33.0,Male,Berlin,Embedded Developer,9,Senior,74000.0,61200.0,English
913,02/12/2019 15:34:33,34.0,Male,Munich,Backend Developer,10,Senior,120000.0,90000.0,English
914,02/12/2019 15:40:21,33.0,Male,Berlin,Software Architect,12,Senior,120000.0,95000.0,English
915,02/12/2019 15:44:50,36.0,Male,Berlin,Fullstack Developer,15,Senior,70000.0,58000.0,English
916,02/12/2019 15:43:54,31.0,Female,Munich,Fullstack Developer,4,Junior,57000.0,47000.0,Deutsch
917,02/12/2019 15:44:10,38.0,Male,Berlin,Manager,9,Senior,120000.0,90000.0,English
919,02/12/2019 15:45:22,40.0,Male,Frankfurt,SAP Consultant,14,Senior,175000.0,160000.0,English
920,02/12/2019 15:49:42,37.0,Male,Munich,Fullstack Developer,11,Senior,67000.0,66000.0,Deutsch
922,02/12/2019 15:50:29,33.0,Male,Berlin,Mobile Developer,10,Senior,80000.0,72000.0,English
923,02/12/2019 15:50:47,32.0,Female,Nuremberg,QA,8,Senior,50000.0,44000.0,English
925,02/12/2019 15:56:45,34.0,Male,Cologne,QA,10,Middle,61800.0,60000.0,Deutsch
926,02/12/2019 15:57:09,28.0,Male,Berlin,Backend Developer,7,Senior,70000.0,65000.0,English
928,02/12/2019 15:59:24,29.0,Male,Krakow,QA,7,Senior,45000.0,33000.0,English
930,02/12/2019 16:04:46,26.0,Male,Munich,Backend Developer,5,Middle,59000.0,55000.0,English
931,02/12/2019 16:05:00,44.0,Male,Munich,Frontend Developer,5,Middle,60000.0,52000.0,Deutsch
933,02/12/2019 16:06:43,28.0,Male,Berlin,Backend Developer,7,Senior,65000.0,60000.0,English
934,02/12/2019 16:08:28,45.0,Female,Frankfurt,Database Developer (DBA),2,Middle,62000.0,59000.0,Deutsch
935,02/12/2019 16:11:06,39.0,Male,Munich,Desktop/Unity3D Developer,15,Senior,49375.0,46250.0,Deutsch
936,02/12/2019 16:18:06,36.0,Male,Berlin,Manager,13,Senior,80000.0,70000.0,English
937,02/12/2019 16:20:54,32.0,Male,Berlin,Mobile Developer,5,Middle,60000.0,56400.0,English
938,02/12/2019 16:22:39,38.0,Male,Munich,Software Architect,17,Senior,120000.0,117000.0,English
941,02/12/2019 16:25:53,32.0,Male,Munich,Backend Developer,8,Middle,68000.0,66000.0,English
942,02/12/2019 16:35:02,33.0,Male,Munich,Fullstack Developer,8,Senior,63000.0,62000.0,English
943,02/12/2019 16:37:57,34.0,Male,Cologne,Manager,15,Senior,60000.0,48000.0,English
945,02/12/2019 16:38:56,35.0,Male,Frankfurt,Backend Developer,16,Senior,55000.0,55000.0,English
946,02/12/2019 16:39:11,24.0,Male,Frankfurt,DevOps,1,Junior,45000.0,40000.0,Deutsch
949,02/12/2019 16:43:19,40.0,Female,Munich,SAP Consultant,9,Senior,89000.0,87000.0,English
950,02/12/2019 16:45:22,29.0,Male,Cologne,Fullstack Developer,4,Senior,65000.0,45000.0,Deutsch
952,02/12/2019 16:47:47,36.0,Male,Stuttgart,Mobile Developer,16,Senior,60000.0,60000.0,English
955,02/12/2019 17:27:05,32.0,Male,Berlin,Backend Developer,12,Senior,65000.0,55000.0,Russian
956,02/12/2019 17:30:59,29.0,Male,Munich,DevOps,10,Lead,85000.0,75000.0,English
957,02/12/2019 17:32:16,47.0,Male,London,Data Engineer,22,Middle,100000.0,100000.0,English
959,02/12/2019 17:35:43,32.0,Female,Frankfurt,Recruiter ,10,Senior,56000.0,36000.0,English
960,02/12/2019 17:36:37,34.0,Male,Karlsruhe,Fullstack Developer,12,Senior,75000.0,66000.0,English
961,02/12/2019 17:40:40,29.0,Female,Munich,Data Scientist,4,Middle,62000.0,60000.0,Deutsch
962,02/12/2019 17:41:24,31.0,Male,Munich,Backend Developer,9,Senior,75000.0,75000.0,English
963,02/12/2019 17:41:30,41.0,Female,Munich,QA,9,Middle,46000.0,39000.0,Deutsch
966,02/12/2019 17:50:19,39.0,Female,Munich,Backend Developer,17,Middle,58000.0,55000.0,Deutsch
969,02/12/2019 18:03:30,29.0,Male,Munich,Fullstack Developer,8,Middle,80000.0,70000.0,English
971,02/12/2019 18:14:18,28.0,Male,Munich,Data Scientist,4,Senior,59000.0,54000.0,English
973,02/12/2019 18:28:37,31.0,Male,Berlin,Frontend Developer,10,Senior,67000.0,53000.0,English
974,02/12/2019 18:36:23,40.0,Male,Munich,Product Manager,15,Middle,73000.0,70000.0,English
975,02/12/2019 18:48:21,32.0,Male,Munich,Backend Developer,14,Lead,80000.0,70000.0,Deutsch
976,02/12/2019 18:51:02,34.0,Male,Berlin,Backend Developer,10,Senior,90000.0,75000.0,English
977,02/12/2019 18:55:15,34.0,Male,Berlin,Frontend Developer,10,Senior,68000.0,65000.0,English
978,02/12/2019 19:00:08,33.0,Male,Munich,Fullstack Developer,15,Senior,120000.0,114000.0,English
979,02/12/2019 19:03:22,31.0,Male,Frankfurt,System Administrator,10,Middle,65000.0,65000.0,English
980,02/12/2019 19:10:14,37.0,Male,Munich,Business Analyst,15,Middle,87000.0,84000.0,English
981,02/12/2019 19:10:32,33.0,Male,Munich,QA,5,Senior,70000.0,60000.0,English
982,02/12/2019 19:21:45,34.0,Female,Berlin,QA,12,Senior,74000.0,62000.0,Deutsch
983,02/12/2019 19:34:30,32.0,Male,Munich,Mobile Developer,14,Senior,90000.0,90000.0,English
984,02/12/2019 19:36:49,38.0,Male,Berlin,Backend Developer,13,Senior,77400.0,76800.0,Deutsch
990,02/12/2019 19:59:09,42.0,Male,Berlin,"CTO (CEO, CFO)",20,Senior,120000.0,76000.0,English
993,02/12/2019 20:04:31,38.0,Male,Munich,Manager,12,Senior,96000.0,96000.0,English
995,02/12/2019 20:23:58,40.0,Male,Frankfurt,Software Architect,20,Senior,95000.0,85000.0,English
997,02/12/2019 20:29:23,30.0,Male,Munich,Machine Learning Engineer,2,Middle,62000.0,52000.0,English
1003,02/12/2019 20:56:53,25.0,Male,Munich,Frontend Developer,5,Senior,80000.0,62000.0,English
1004,02/12/2019 20:58:49,32.0,Female,Munich,Fullstack Developer,10,Middle,47500.0,47500.0,English
1005,02/12/2019 21:02:20,31.0,Male,Munich,Fullstack Developer,10,Lead,72000.0,66000.0,English
1006,02/12/2019 21:04:05,32.0,Male,Munich,Backend Developer,12,Middle,64000.0,61000.0,English
1007,02/12/2019 21:06:41,44.0,Male,Munich,Manager,22,Senior,107000.0,146000.0,Deutsch
1008,02/12/2019 21:06:55,36.0,Male,Munich,Backend Developer,13,Senior,60000.0,55000.0,English
1011,02/12/2019 21:18:00,32.0,Male,Munich,Backend Developer,5,Senior,65000.0,65000.0,English
1012,02/12/2019 21:18:55,32.0,Male,Munich,Fullstack Developer,14,Lead,98000.0,90000.0,English
1013,02/12/2019 21:22:39,27.0,Male,Munich,Backend Developer,7,Middle,66000.0,66000.0,Deutsch
1016,02/12/2019 21:50:35,29.0,Male,Berlin,Backend Developer,7,Senior,78000.0,73000.0,English
1017,02/12/2019 21:52:49,26.0,Female,Frankfurt,Manager,2,Middle,45000.0,43000.0,Deutsch
1019,02/12/2019 22:00:44,35.0,Male,Munich,Mobile Developer,7,Senior,77500.0,70000.0,English
1021,02/12/2019 22:34:04,25.0,Male,Munich,Mobile Developer,4,Middle,60000.0,60000.0,English
1026,02/12/2019 23:39:58,34.0,Male,Frankfurt,Software Architect,10,Senior,100000.0,76000.0,English
1029,02/12/2019 23:59:24,36.0,Male,Berlin,Backend Developer,10,Senior,78000.0,78000.0,English
1034,03/12/2019 08:08:18,33.0,Male,Munich,Embedded Developer,11,Senior,78000.0,72000.0,Russian
1035,03/12/2019 08:27:19,29.0,Female,Munich,Mobile Developer,8,Middle,65000.0,50000.0,English
1040,03/12/2019 08:53:50,29.0,Male,Berlin,Fullstack Developer,10,Senior,70000.0,60000.0,English
1041,03/12/2019 08:58:34,43.0,Male,Berlin,Data Engineer,10,Senior,60000.0,60000.0,Russian
1043,03/12/2019 09:06:49,36.0,Male,Berlin,Software Architect,14,Senior,75000.0,69000.0,English
1049,03/12/2019 09:53:16,29.0,Male,Berlin,DevOps,10,Senior,72000.0,65000.0,English
1053,03/12/2019 10:06:05,28.0,Female,Munich,"Designer (UI, UX)",9,Senior,70000.0,50000.0,English
1057,03/12/2019 10:16:33,32.0,Male,Berlin,Backend Developer,11,Senior,81600.0,78000.0,English
1058,03/12/2019 10:21:33,35.0,Male,Düsseldorf,DevOps,15,Senior,65000.0,65000.0,Deutsch
1061,03/12/2019 10:26:11,38.0,Female,Berlin,SAP Consultant,10,Senior,92000.0,78000.0,Deutsch
1062,03/12/2019 10:26:19,24.0,Male,Berlin,Backend Developer,4,Middle,65000.0,44000.0,English
1063,03/12/2019 10:32:07,32.0,Male,Berlin,Backend Developer,5,Senior,62000.0,58000.0,Deutsch
1066,03/12/2019 10:37:06,36.0,Male,Berlin,Frontend Developer,10,Senior,80000.0,70000.0,English
1071,03/12/2019 10:43:24,42.0,Female,Berlin,Backend Developer,12,Senior,55000.0,55000.0,English
1073,03/12/2019 10:49:45,30.0,Male,Hamburg,Data Scientist,6,Senior,85000.0,80000.0,English
1075,03/12/2019 11:10:10,30.0,Male,Berlin,Backend Developer,6,Senior,70000.0,65000.0,Russian
1076,03/12/2019 11:12:11,28.0,Male,Berlin,Backend Developer,8,Middle,68000.0,67000.0,English
1077,03/12/2019 11:15:48,37.0,Male,Berlin,Software Architect,15,Senior,95000.0,85000.0,English
1078,03/12/2019 11:18:30,29.0,Male,Munich,Mobile Developer,7,Middle,70000.0,45000.0,English
1080,03/12/2019 11:29:02,35.0,Male,Berlin,Backend Developer,16,Senior,65000.0,60000.0,English
1084,03/12/2019 11:47:33,41.0,Male,Munich,Backend Developer,0,Junior,55000.0,32000.0,English
1085,03/12/2019 11:53:44,33.0,Male,Karlsruhe,QA,7,Senior,67000.0,65000.0,English
1087,03/12/2019 12:03:11,25.0,Male,Kyiv,DevOps,4,Senior,60000.0,42000.0,Russian
1091,03/12/2019 12:41:36,36.0,Male,Berlin,Data Scientist,18,Middle,56000.0,58000.0,English
1093,03/12/2019 12:52:51,33.0,Male,Berlin,Backend Developer,10,Middle,76000.0,74000.0,English
1094,03/12/2019 13:11:56,34.0,Male,Freiburg,Backend Developer,2,Middle,42000.0,42000.0,English
1095,03/12/2019 13:16:20,36.0,Male,Berlin,Manager,15,Senior,77000.0,83000.0,English
1098,03/12/2019 13:51:10,27.0,Male,Munich,Data Engineer,1,Middle,58000.0,48000.0,English
1099,03/12/2019 14:00:58,30.0,Male,Munich,Mobile Developer,9,Senior,72000.0,65000.0,Russian
1100,03/12/2019 14:03:42,37.0,Male,Amsterdam,QA,14,Senior,75000.0,78000.0,English
1102,03/12/2019 15:50:19,41.0,Male,Munich,Backend Developer,20,Senior,78000.0,75000.0,English
1104,03/12/2019 15:56:31,34.0,Male,Berlin,Backend Developer,13,Senior,70000.0,65000.0,English
1116,03/12/2019 16:58:06,29.0,Male,Munich,Frontend Developer,8,Middle,65000.0,61500.0,English
1118,03/12/2019 16:59:30,33.0,Male,Munich,Backend Developer,11,Lead,90000.0,85000.0,English
1119,03/12/2019 17:10:00,33.0,Male,Kyiv,System Administrator,15,Middle,36000.0,20000.0,Russian
1120,03/12/2019 17:23:56,39.0,Male,Munich,Fullstack Developer,15,Senior,75700.0,60000.0,English
1122,03/12/2019 18:05:49,33.0,Female,Berlin,QA,5,Middle,63400.0,51000.0,English
1123,03/12/2019 18:31:52,35.0,Male,Munich,Backend Developer,16,Senior,70000.0,70000.0,Russian
1125,03/12/2019 18:37:06,31.0,Female,Frankfurt,Backend Developer,7,Senior,68000.0,72000.0,English
1127,03/12/2019 19:12:30,34.0,Male,Pforzheim,Backend Developer,13,Senior,75000.0,65000.0,Deutsch
1128,03/12/2019 19:20:52,32.0,Male,Munich,Software Architect,8,Senior,100000.0,65000.0,Deutsch
1129,03/12/2019 19:29:16,33.0,Male,Munich,Backend Developer,11,Senior,90000.0,80000.0,English
1133,03/12/2019 20:49:10,37.0,Male,Stuttgart,Software Architect,11,Senior,105000.0,98000.0,Deutsch
1135,03/12/2019 21:30:05,27.0,Male,Berlin,Manager,6,Senior,58000.0,55000.0,English
1136,03/12/2019 21:44:48,30.0,Male,Kassel ,Frontend Developer,4,Middle,55000.0,53500.0,Deutsch
1138,03/12/2019 21:48:43,31.0,Female,Munich,Mobile Developer,8,Senior,75000.0,65000.0,English
1139,03/12/2019 21:51:50,33.0,Male,Munich,Embedded Developer,4,Senior,60000.0,55000.0,Deutsch
1142,03/12/2019 22:32:24,43.0,Male,Berlin,Backend Developer,20,Middle,70000.0,67000.0,English
1143,03/12/2019 22:34:45,40.0,Male,Frankfurt,Manager,18,Senior,88000.0,88000.0,English
1144,03/12/2019 22:48:58,35.0,Male,Munich,DevOps,15,Senior,73000.0,70000.0,Deutsch
1145,03/12/2019 23:25:18,36.0,Male,Munich,Mobile Developer,20,Senior,150000.0,80000.0,Deutsch
1146,03/12/2019 23:25:30,28.0,Male,Munich,Backend Developer,7,Senior,74000.0,69000.0,English
1147,03/12/2019 23:49:50,31.0,Male,Munich,Backend Developer,10,Senior,78000.0,70000.0,English
1148,03/12/2019 23:51:17,30.0,Male,Munich,DevOps,10,Head,77000.0,70000.0,English
1151,04/12/2019 00:07:30,35.0,Female,Madrid,Sales Engineer,12,Middle,46000.0,45000.0,Spanish
1152,04/12/2019 00:11:03,28.0,Male,Berlin,Backend Developer,6,Senior,52000.0,52000.0,English
1154,04/12/2019 00:57:53,26.0,Male,Frankfurt,Manager,5,Middle,65000.0,59000.0,English
1156,04/12/2019 01:19:30,27.0,Female,Munich,QA,7,Senior,69000.0,65000.0,English
1157,04/12/2019 04:01:31,32.0,Male,Vienna,Data Scientist,2,Middle,70000.0,60000.0,English
1160,04/12/2019 06:58:37,37.0,Male,Munich,Backend Developer,17,Senior,76500.0,75000.0,English
1164,04/12/2019 10:09:47,37.0,Male,Berlin,Backend Developer,12,Senior,70000.0,65000.0,English
1165,04/12/2019 10:53:13,34.0,Male,Berlin,QA,8,Senior,59000.0,56000.0,English
1170,04/12/2019 11:44:46,25.0,Male,Karlsruhe,Machine Learning Engineer,4,Middle,52200.0,52200.0,Deutsch
1174,04/12/2019 12:19:20,31.0,Male,Munich,SAP Consultant,8,Senior,130000.0,110000.0,English
1175,04/12/2019 12:22:59,27.0,Male,Munich,Software Architect,3,Junior,50000.0,48000.0,English
1176,04/12/2019 13:11:39,28.0,Male,Munich,Frontend Developer,5,Senior,57000.0,52000.0,English
1177,04/12/2019 13:12:49,32.0,Male,Frankfurt,Data Scientist,3,Middle,73500.0,62000.0,Deutsch
1179,04/12/2019 13:47:38,29.0,Male,Berlin,Data Scientist,4,Middle,68000.0,75000.0,English
1180,04/12/2019 13:47:57,37.0,Male,Berlin,QA,6,Middle,65000.0,55000.0,English
1181,04/12/2019 13:52:07,34.0,Male,Munich,Manager,12,Senior,96000.0,92000.0,English
1183,04/12/2019 13:57:23,30.0,Male,Hamburg,Data Engineer,3,Senior,57000.0,45000.0,English
1185,04/12/2019 14:08:28,26.0,Male,Moscow,Data Scientist,3,Middle,46000.0,23000.0,English
1189,04/12/2019 14:25:55,35.0,Male,Frankfurt,Software Architect,12,Senior,70000.0,70000.0,Deutsch
1190,04/12/2019 14:26:50,36.0,Male,Berlin,Data Scientist,4,Middle,58000.0,53000.0,Deutsch
1191,04/12/2019 14:30:56,35.0,Male,Munich,Network Engineer,12,Senior,75000.0,55000.0,Deutsch
1192,04/12/2019 14:38:15,30.0,Female,London,Data Engineer,3,Junior,55000.0,55000.0,English
1193,04/12/2019 14:44:01,39.0,Male,Warsaw,Researcher,15,Senior,22000.0,20000.0,English
1197,04/12/2019 14:51:04,33.0,Male,Munich,Data Scientist,11,Senior,67500.0,65000.0,English
1200,04/12/2019 14:58:30,26.0,Male,Berlin,Machine Learning Engineer,3,Middle,46000.0,46000.0,English
1201,04/12/2019 15:01:17,33.0,Male,Berlin,Backend Developer,8,Senior,75000.0,70000.0,English
1203,04/12/2019 15:10:37,35.0,Female,Berlin,Data Scientist,10,Senior,140000.0,110000.0,English
1204,04/12/2019 15:11:24,34.0,Male,Munich,Manager,7,Middle,96000.0,84000.0,English
1206,04/12/2019 15:15:47,22.0,Male,London,"CTO (CEO, CFO)",3,Senior,45000.0,10000.0,English
1207,04/12/2019 15:15:52,32.0,Male,Berlin,Data Engineer,12,Senior,80000.0,60000.0,English
1209,04/12/2019 15:23:26,31.0,Male,Munich,SRE,10,Senior,72000.0,68400.0,Deutsch
1210,04/12/2019 15:24:29,29.0,Male,Hannover,Data Scientist,4,Middle,60000.0,53000.0,Deutsch
1211,04/12/2019 15:49:39,30.0,Male,Hamburg,Data Scientist,6,Senior,68000.0,68000.0,English
1214,04/12/2019 16:02:43,30.0,Male,Berlin,Data Scientist,5,Senior,85000.0,65000.0,Deutsch
1215,04/12/2019 16:08:48,43.0,Male,Hamburg,Software Architect,15,Senior,54000.0,74000.0,English
1216,04/12/2019 16:27:54,34.0,Male,Paris,Data Scientist,9,Senior,75000.0,62000.0,French
1220,04/12/2019 16:50:30,28.0,Female,London,Data Scientist,7,Senior,120000.0,65000.0,English
1221,04/12/2019 16:50:32,30.0,Male,Berlin,"CTO (CEO, CFO)",11,Senior,75000.0,80000.0,English
1222,04/12/2019 17:13:51,34.0,Male,Cologne,Data Scientist,8,Middle,72000.0,70000.0,English
1224,04/12/2019 17:17:26,29.0,Male,Berlin,Data Scientist,2,Middle,53000.0,53000.0,French
1225,04/12/2019 17:57:35,26.0,Male,Berlin,Researcher,1,Junior,40000.0,30000.0,English
1227,04/12/2019 18:05:07,28.0,Male,Berlin,Software Architect,10,Principal,110000.0,85000.0,English
1228,04/12/2019 18:09:55,49.0,Male,Milan,Manager,24,Senior,115000.0,95000.0,Italian
1229,04/12/2019 18:11:32,33.0,Male,Berlin,Machine Learning Engineer,11,Senior,75000.0,75000.0,English
1231,04/12/2019 18:27:33,35.0,Male,Hamburg,Backend Developer,10,Senior,62000.0,48000.0,English
1232,04/12/2019 18:27:49,26.0,Male,Odesa,Data Scientist,3,Senior,45000.0,25000.0,Russian
1233,04/12/2019 18:30:51,31.0,Male,Berlin,Data Engineer,6,Senior,75000.0,60000.0,English
1235,04/12/2019 18:59:18,31.0,Male,Munich,Software Engineer,11,Senior,95000.0,87000.0,English
1238,04/12/2019 19:13:07,36.0,Male,Berlin,DevOps,15,Senior,75000.0,68000.0,English
1240,04/12/2019 19:38:28,39.0,Male,Berlin,Data Engineer,10,Senior,75000.0,68000.0,English
1243,04/12/2019 20:07:34,30.0,Male,Berlin,Data Scientist,2,Middle,55000.0,52000.0,English
1246,04/12/2019 20:14:44,38.0,Male,Berlin,Backend Developer,7,Senior,80000.0,70000.0,English
1248,04/12/2019 20:37:47,35.0,Male,Hamburg,Manager,9,Middle,105000.0,100000.0,Deutsch
1249,04/12/2019 20:40:28,29.0,Male,Berlin,DevOps,8,Senior,85000.0,70000.0,English
1250,04/12/2019 20:45:16,38.0,Male,Cork,Software Architect,15,Senior,100000.0,78000.0,English
